Entity,Code,Year,"Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages"
Albania,ALB,1987,13.346996
Albania,ALB,1988,11.110825
Albania,ALB,1989,15.654971
Albania,ALB,1992,9.98638
Albania,ALB,1993,13.130654
Albania,ALB,1994,11.635212
Albania,ALB,1995,6.2158575
Albania,ALB,1996,6.4933434
Albania,ALB,1997,4.7401843
Albania,ALB,1998,4.4100404
Albania,ALB,1999,3.5057914
Albania,ALB,2001,4.5206156
Albania,ALB,2000,3.5417128
Albania,ALB,2002,4.5948644
Albania,ALB,2003,4.4917383
Albania,ALB,2004,4.5447726
Albania,ALB,2005,3.2203562
Albania,ALB,2006,3.896322
Albania,ALB,2007,2.593476
Albania,ALB,2008,2.1744478
Albania,ALB,2009,1.2113036
Albania,ALB,2010,1.2890308
Antigua and Barbuda,ATG,1961,187.45468
Antigua and Barbuda,ATG,1962,168.16559
Antigua and Barbuda,ATG,1963,144.34256
Antigua and Barbuda,ATG,1964,136.08063
Antigua and Barbuda,ATG,1966,71.97086
Antigua and Barbuda,ATG,1969,59.919052
Antigua and Barbuda,ATG,1970,58.256916
Antigua and Barbuda,ATG,1971,54.206104
Antigua and Barbuda,ATG,1972,34.479492
Antigua and Barbuda,ATG,1973,45.026176
Antigua and Barbuda,ATG,1974,82.94927
Antigua and Barbuda,ATG,1975,29.825611
Antigua and Barbuda,ATG,1976,39.33379
Antigua and Barbuda,ATG,1977,39.262196
Antigua and Barbuda,ATG,1978,27.629559
Antigua and Barbuda,ATG,1983,45.174488
Antigua and Barbuda,ATG,1985,12.063902
Antigua and Barbuda,ATG,1986,22.950865
Antigua and Barbuda,ATG,1987,17.205338
Antigua and Barbuda,ATG,1988,21.414095
Antigua and Barbuda,ATG,1989,22.369762
Antigua and Barbuda,ATG,1990,26.98287
Antigua and Barbuda,ATG,1991,18.646938
Antigua and Barbuda,ATG,1992,17.141367
Antigua and Barbuda,ATG,1993,9.349631
Antigua and Barbuda,ATG,1994,19.213188
Antigua and Barbuda,ATG,1995,13.687773
Antigua and Barbuda,ATG,1998,27.602272
Antigua and Barbuda,ATG,1999,23.669943
Antigua and Barbuda,ATG,2000,38.822853
Antigua and Barbuda,ATG,2001,44.164295
Antigua and Barbuda,ATG,2002,26.555878
Antigua and Barbuda,ATG,2003,15.885029
Antigua and Barbuda,ATG,2004,20.577572
Antigua and Barbuda,ATG,2005,27.25475
